                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3162,                 3.8928,                 2.7063,                0.01148,                0.01336,                  0.006,                0.00198,                 3.6607,                  3.465,                  1.914,               0.070148,              0.0033169,              0.0033169
                      2,                 2.9318,                 2.6126,                 1.5747,                0.06161,                0.07512,                0.05249,                0.02079,                 2.6339,                 2.1122,                 1.4774,               0.040104,              0.0066064,              0.0066064
                      3,                 2.4893,                  2.216,                 1.3823,                0.10079,                0.11648,                0.06849,                0.02925,                  2.265,                 2.0365,                  1.325,               0.010016,              0.0098518,              0.0098518
                      4,                 2.2089,                 1.9331,                 1.2706,                0.15822,                0.14133,                0.10033,                0.04869,                 1.9835,                 1.6567,                  1.184,               0.009802,               0.009802,               0.009802
                      5,                 2.0326,                 1.7527,                 1.2106,                0.26517,                0.15998,                0.11706,                0.05576,                 1.9604,                 1.5855,                 1.1503,               0.009736,               0.009736,               0.009736
                      6,                 1.9359,                 1.6436,                 1.1641,                0.21337,                0.17392,                0.13617,                0.06801,                 1.8163,                 1.4598,                 1.1176,                0.00967,                0.00967,                0.00967
                      7,                 1.8708,                 1.5682,                 1.1461,                0.21051,                0.19316,                0.14634,                0.07469,                 1.7469,                 1.4432,                    1.1,               0.009604,               0.009604,               0.009604
                      8,                 1.8022,                 1.5039,                  1.124,                 0.2488,                0.20327,                0.16731,                0.08831,                 1.6867,                 1.3871,                 1.0699,               0.009538,               0.009538,               0.009538
                      9,                  1.778,                 1.4693,                 1.1056,                0.24195,                0.20004,                0.16377,                0.08654,                 1.7158,                  1.355,                 1.0795,               0.009472,               0.009472,               0.009472
                     10,                 1.7436,                 1.4251,                 1.1005,                0.26999,                0.21284,                 0.1814,                0.09551,                 1.6301,                 1.2848,                 1.0573,               0.009406,               0.009406,               0.009406
                     11,                 1.7168,                 1.3876,                 1.0896,                0.29324,                0.22283,                   0.19,                0.10353,                 1.6171,                 1.2743,                 1.0499,                0.00934,                0.00934,                0.00934
                     12,                 1.6893,                 1.3705,                  1.083,                0.27373,                0.21594,                 0.1813,                0.09546,                 1.6106,                 1.2604,                 1.0413,               0.009274,               0.009274,               0.009274
                     13,                 1.6699,                 1.3428,                 1.0769,                0.28599,                 0.2336,                0.19642,                0.10511,                  1.608,                 1.2919,                 1.0474,               0.009208,               0.009208,               0.009208
                     14,                 1.6569,                 1.3299,                  1.069,                0.32162,                0.23016,                0.20836,                0.11511,                  1.545,                 1.2128,                  1.029,               0.009142,               0.009142,               0.009142
                     15,                  1.635,                 1.3064,                 1.0659,                0.30904,                0.24393,                0.21592,                0.11662,                 1.5477,                 1.1878,                 1.0291,               0.009076,               0.009076,               0.009076
                     16,                 1.6217,                 1.2922,                 1.0614,                0.33748,                 0.2379,                0.22018,                0.11948,                 1.5425,                 1.1738,                 1.0296,                0.00901,                0.00901,                0.00901
                     17,                 1.6159,                 1.2789,                  1.059,                0.33649,                0.24205,                0.22605,                0.12262,                 1.5219,                  1.156,                 1.0281,               0.008944,               0.008944,               0.008944
                     18,                 1.6019,                 1.2599,                 1.0522,                0.32403,                0.25051,                0.22994,                 0.1262,                 1.5034,                  1.157,                 1.0198,               0.008878,               0.008878,               0.008878
                     19,                 1.5861,                 1.2454,                 1.0477,                0.32344,                0.24667,                0.22915,                0.12646,                  1.494,                 1.1584,                 1.0131,               0.008812,               0.008812,               0.008812
                     20,                 1.5791,                  1.236,                 1.0478,                0.34049,                0.25947,                0.23676,                 0.1309,                  1.491,                 1.1575,                 1.0124,               0.008746,               0.008746,               0.008746
                     21,                  1.571,                 1.2228,                 1.0413,                0.33154,                0.25146,                0.23604,                0.13015,                 1.4883,                  1.136,                 1.0092,                0.00868,                0.00868,                0.00868
                     22,                 1.5554,                  1.211,                 1.0414,                0.33603,                0.25126,                0.23649,                0.13115,                  1.479,                 1.1192,                 1.0078,               0.008614,               0.008614,               0.008614
                     23,                 1.5471,                    1.2,                 1.0332,                0.32829,                0.25467,                 0.2392,                0.13023,                 1.4883,                 1.1227,                 1.0074,               0.008548,               0.008548,               0.008548
                     24,                 1.5439,                 1.1988,                 1.0307,                0.34733,                0.26277,                0.24626,                 0.1344,                 1.4638,                 1.0988,                 1.0052,               0.008482,               0.008482,               0.008482
                     25,                  1.542,                 1.1918,                 1.0333,                0.36104,                0.26879,                 0.2519,                0.13814,                 1.4613,                 1.0963,                 1.0029,               0.008416,               0.008416,               0.008416
                     26,                 1.5367,                 1.1855,                 1.0315,                0.36216,                0.26526,                0.25165,                0.13816,                 1.4655,                 1.0954,                 1.0027,                0.00835,                0.00835,                0.00835
                     27,                 1.5203,                 1.1742,                 1.0282,                 0.3581,                0.26899,                0.25313,                0.13858,                 1.4592,                 1.1024,                 1.0028,               0.008284,               0.008284,               0.008284
                     28,                 1.5172,                 1.1674,                 1.0244,                0.36077,                 0.2712,                0.25308,                  0.141,                   1.44,                 1.0796,                0.99572,               0.008218,               0.008218,               0.008218
                     29,                  1.509,                 1.1663,                 1.0261,                0.36578,                0.27219,                0.25856,                0.14364,                 1.4352,                 1.0716,                0.99499,               0.008152,               0.008152,               0.008152
                     30,                 1.5007,                 1.1508,                 1.0221,                0.37433,                0.27139,                0.26296,                0.14526,                 1.4326,                 1.0691,                0.99444,               0.008086,               0.008086,               0.008086
                     31,                 1.4988,                  1.146,                 1.0209,                 0.3653,                0.27473,                0.26415,                 0.1474,                 1.4282,                 1.0662,                0.99319,                0.00802,                0.00802,                0.00802
                     32,                 1.4975,                 1.1414,                 1.0184,                0.36198,                0.26607,                0.25795,                0.14218,                 1.4393,                 1.0798,                0.99762,               0.007954,               0.007954,               0.007954
                     33,                 1.4947,                 1.1354,                 1.0165,                  0.364,                0.28493,                0.26752,                0.14804,                 1.4206,                 1.0561,                0.99033,               0.007888,               0.007888,               0.007888
                     34,                 1.4873,                  1.135,                 1.0173,                0.37767,                0.27902,                0.26962,                0.15125,                 1.4146,                 1.0585,                0.98761,               0.007822,               0.007822,               0.007822
                     35,                 1.4809,                 1.1235,                 1.0126,                0.37155,                0.27133,                0.26552,                0.14811,                 1.4209,                 1.0579,                0.99046,               0.007756,               0.007756,               0.007756
                     36,                 1.4751,                  1.125,                 1.0128,                0.37704,                0.28291,                0.27335,                0.15232,                 1.4092,                 1.0518,                0.99017,                0.00769,                0.00769,                0.00769
                     37,                 1.4829,                 1.1169,                 1.0113,                0.37277,                0.28325,                0.27294,                0.15273,                 1.4143,                 1.0456,                0.98883,               0.007624,               0.007624,               0.007624
                     38,                 1.4698,                 1.1104,                 1.0099,                0.38394,                0.28392,                0.27821,                0.15415,                 1.4001,                 1.0394,                0.98611,               0.007558,               0.007558,               0.007558
                     39,                 1.4726,                 1.1103,                 1.0064,                0.38224,                0.27715,                0.27134,                0.15177,                  1.409,                 1.0456,                0.98612,               0.007492,               0.007492,               0.007492
                     40,                 1.4685,                 1.1113,                 1.0087,                0.36561,                0.28461,                0.27472,                0.15342,                 1.4078,                 1.0495,                0.98612,               0.007426,               0.007426,               0.007426
                     41,                 1.4698,                 1.1051,                 1.0062,                0.38821,                0.28542,                 0.2789,                0.15587,                  1.422,                 1.0564,                0.97986,                0.00736,                0.00736,                0.00736
                     42,                 1.4916,                 1.1212,                 1.0039,                0.38558,                 0.2897,                0.28083,                0.15758,                 1.4295,                 1.0624,                0.97893,               0.007294,               0.007294,               0.007294
                     43,                 1.4901,                 1.1189,                 1.0017,                0.38017,                0.29233,                0.27963,                 0.1582,                  1.427,                  1.067,                  0.975,               0.007228,               0.007228,               0.007228
                     44,                 1.4973,                 1.1248,                0.99915,                 0.3902,                0.28911,                 0.2797,                0.15812,                 1.4298,                   1.07,                0.97466,               0.007162,               0.007162,               0.007162
                     45,                 1.4883,                 1.1218,                0.99383,                0.38895,                0.28795,                0.28319,                 0.1604,                 1.4343,                 1.0686,                0.97373,               0.007096,               0.007096,               0.007096
                     46,                 1.4895,                 1.1197,                0.99103,                0.39848,                0.29177,                 0.2833,                0.16059,                 1.4258,                 1.0618,                0.97025,                0.00703,                0.00703,                0.00703
                     47,                 1.4882,                 1.1192,                0.99104,                0.40517,                0.28349,                 0.2839,                0.16024,                 1.4257,                 1.0625,                0.97051,               0.006964,               0.006964,               0.006964
                     48,                 1.4838,                 1.1143,                0.98987,                0.39598,                0.28951,                0.28667,                0.16244,                  1.415,                 1.0562,                0.96648,               0.006898,               0.006898,               0.006898
                     49,                 1.4872,                 1.1187,                0.98626,                0.39904,                0.29402,                0.28767,                0.16361,                 1.4149,                 1.0534,                0.96716,               0.006832,               0.006832,               0.006832
                     50,                 1.4818,                 1.1071,                0.98563,                0.40261,                0.29052,                0.28989,                0.16484,                 1.4138,                 1.0517,                0.96735,               0.006766,               0.006766,               0.006766
                     51,                 1.4744,                 1.1102,                0.98596,                0.38507,                0.28863,                 0.2848,                0.16263,                  1.416,                 1.0524,                0.96584,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.4609,                 1.0969,                0.98281,                0.38444,                0.29679,                0.28846,                0.16454,                 1.4063,                 1.0428,                0.96432,               0.006634,               0.006634,               0.006634
