                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6949,                 4.1429,                  3.099,                0.31302,                0.02109,                0.01188,                0.00359,                 3.4646,                 6.5132,                 1.9652,               0.070148,              0.0033169,              0.0033169
                      2,                 2.9821,                 2.6418,                 1.6071,                0.47193,                0.06871,                0.05274,                0.02269,                 2.4559,                 2.1307,                 1.3838,               0.040104,              0.0066064,              0.0066064
                      3,                 2.4748,                 2.2165,                 1.3888,                0.07808,                0.13321,                0.06989,                0.03096,                 2.2327,                   2.14,                  1.272,               0.010016,              0.0098518,              0.0098518
                      4,                 2.1814,                 1.9328,                 1.2665,                0.13595,                0.13788,                0.09903,                0.04787,                 1.9516,                  1.679,                 1.1811,               0.009802,               0.009802,               0.009802
                      5,                  2.001,                 1.7563,                 1.2027,                0.16106,                0.16876,                0.11821,                0.05829,                 1.8435,                 1.5713,                 1.1279,               0.009736,               0.009736,               0.009736
                      6,                 1.9035,                 1.6473,                 1.1572,                0.19754,                0.17972,                0.13437,                0.06925,                 1.7785,                 1.4436,                 1.1048,                0.00967,                0.00967,                0.00967
                      7,                 1.8371,                 1.5699,                  1.137,                0.21573,                 0.1922,                0.14674,                0.07659,                 1.7039,                   1.41,                  1.098,               0.009604,               0.009604,               0.009604
                      8,                   1.77,                 1.5019,                 1.1156,                0.23505,                 0.2008,                0.15847,                0.08538,                 1.6566,                 1.3613,                 1.0672,               0.009538,               0.009538,               0.009538
                      9,                 1.7453,                 1.4679,                 1.0983,                0.22957,                 0.1888,                0.15216,                0.08149,                 1.6835,                 1.3794,                 1.0739,               0.009472,               0.009472,               0.009472
                     10,                 1.7096,                 1.4253,                 1.0919,                0.26131,                0.21255,                0.17891,                 0.0953,                 1.5927,                 1.2813,                 1.0542,               0.009406,               0.009406,               0.009406
                     11,                 1.6838,                  1.388,                 1.0825,                0.28434,                0.21887,                0.18473,                0.09956,                 1.5981,                 1.2656,                 1.0504,                0.00934,                0.00934,                0.00934
                     12,                 1.6555,                 1.3663,                 1.0743,                0.25851,                0.21717,                0.18153,                0.09595,                 1.5999,                 1.2529,                  1.043,               0.009274,               0.009274,               0.009274
                     13,                 1.6354,                 1.3415,                 1.0675,                0.27807,                0.22896,                0.19706,                0.10844,                 1.5571,                 1.2317,                 1.0333,               0.009208,               0.009208,               0.009208
                     14,                 1.6203,                 1.3253,                  1.059,                0.28682,                0.22694,                0.19893,                0.10994,                 1.5468,                 1.2092,                 1.0317,               0.009142,               0.009142,               0.009142
                     15,                 1.5994,                 1.3035,                 1.0555,                0.28498,                0.23907,                0.20571,                0.11314,                 1.5167,                 1.2305,                 1.0233,               0.009076,               0.009076,               0.009076
                     16,                 1.5877,                 1.2887,                 1.0518,                0.31698,                0.24805,                0.22228,                0.12272,                 1.4871,                 1.1607,                 1.0164,                0.00901,                0.00901,                0.00901
                     17,                 1.5779,                 1.2748,                  1.047,                0.31417,                0.23141,                0.21727,                0.11927,                 1.4968,                 1.1737,                 1.0225,               0.008944,               0.008944,               0.008944
                     18,                 1.5659,                 1.2555,                 1.0399,                0.32644,                0.23694,                0.22447,                 0.1248,                 1.4694,                 1.1561,                 1.0139,               0.008878,               0.008878,               0.008878
                     19,                  1.549,                 1.2407,                 1.0356,                0.33463,                0.25047,                0.23295,                0.12898,                 1.4651,                 1.1346,                 1.0111,               0.008812,               0.008812,               0.008812
                     20,                 1.5415,                 1.2298,                 1.0351,                0.32967,                0.26337,                 0.2373,                0.13218,                 1.4496,                  1.122,                  1.004,               0.008746,               0.008746,               0.008746
                     21,                  1.531,                 1.2156,                 1.0284,                0.31886,                0.26146,                0.23702,                0.13026,                  1.462,                 1.1302,                 1.0046,                0.00868,                0.00868,                0.00868
                     22,                 1.5175,                 1.2053,                  1.029,                0.32616,                0.25401,                0.23388,                0.13177,                 1.4482,                 1.1126,                 1.0013,               0.008614,               0.008614,               0.008614
                     23,                 1.5096,                  1.195,                 1.0213,                0.33814,                0.26197,                0.24417,                 0.1397,                 1.4229,                 1.0978,                0.99169,               0.008548,               0.008548,               0.008548
                     24,                 1.5036,                 1.1933,                 1.0184,                0.34408,                0.26204,                0.25105,                0.13915,                 1.4267,                 1.0812,                0.99712,               0.008482,               0.008482,               0.008482
                     25,                 1.5002,                 1.1847,                 1.0199,                0.35485,                0.27248,                0.25193,                0.14264,                 1.4166,                 1.0805,                0.99325,               0.008416,               0.008416,               0.008416
                     26,                 1.4985,                 1.1784,                 1.0187,                0.33703,                0.26067,                0.24767,                0.13832,                 1.4307,                 1.0912,                0.99047,                0.00835,                0.00835,                0.00835
                     27,                 1.4824,                 1.1658,                  1.015,                 0.3514,                0.27597,                0.25627,                0.14497,                  1.407,                 1.0809,                0.98671,               0.008284,               0.008284,               0.008284
                     28,                 1.4765,                 1.1567,                 1.0116,                 0.3547,                0.27267,                0.25277,                0.14346,                 1.3993,                 1.0698,                0.98327,               0.008218,               0.008218,               0.008218
                     29,                 1.4698,                 1.1573,                 1.0119,                0.36982,                0.27429,                0.26079,                0.14753,                  1.385,                 1.0558,                0.97919,               0.008152,               0.008152,               0.008152
                     30,                 1.4621,                 1.1418,                 1.0094,                0.37104,                0.27298,                0.26304,                0.14763,                 1.3952,                  1.057,                0.98727,               0.008086,               0.008086,               0.008086
                     31,                 1.4578,                 1.1378,                 1.0064,                0.37101,                0.27801,                0.26869,                0.15072,                 1.3874,                  1.049,                0.98025,                0.00802,                0.00802,                0.00802
                     32,                 1.4546,                 1.1332,                 1.0038,                0.36974,                0.28425,                0.26729,                0.15279,                 1.3746,                 1.0527,                0.97775,               0.007954,               0.007954,               0.007954
                     33,                  1.452,                 1.1269,                  1.002,                0.37501,                0.28126,                0.26686,                0.15276,                  1.368,                 1.0438,                 0.9766,               0.007888,               0.007888,               0.007888
                     34,                 1.4443,                 1.1235,                 1.0023,                0.37383,                0.28061,                0.27099,                0.15478,                 1.3701,                 1.0369,                 0.9743,               0.007822,               0.007822,               0.007822
                     35,                 1.4363,                 1.1126,                0.99761,                0.36666,                0.28587,                 0.2711,                0.15515,                 1.3686,                 1.0409,                0.97657,               0.007756,               0.007756,               0.007756
                     36,                  1.432,                 1.1131,                0.99694,                0.38933,                0.28917,                0.27753,                0.15829,                 1.3615,                 1.0298,                0.97233,                0.00769,                0.00769,                0.00769
                     37,                 1.4382,                 1.1054,                0.99685,                0.38501,                0.28662,                 0.2768,                0.15742,                 1.3641,                  1.028,                 0.9726,               0.007624,               0.007624,               0.007624
                     38,                 1.4257,                 1.1016,                0.99485,                 0.3978,                0.29359,                0.28324,                0.16099,                 1.3499,                 1.0175,                0.97185,               0.007558,               0.007558,               0.007558
                     39,                 1.4273,                 1.0999,                0.99131,                0.40121,                0.28467,                0.27923,                0.15844,                   1.35,                  1.023,                  0.969,               0.007492,               0.007492,               0.007492
                     40,                 1.4246,                 1.0985,                0.99359,                0.39686,                0.28965,                0.28381,                0.16289,                 1.3474,                 1.0127,                 0.9698,               0.007426,               0.007426,               0.007426
                     41,                 1.4156,                 1.0854,                0.99157,                0.39979,                 0.2949,                0.28506,                0.16191,                 1.3452,                 1.0105,                0.96846,                0.00736,                0.00736,                0.00736
                     42,                 1.4163,                 1.0884,                0.99112,                 0.3915,                0.29215,                0.28437,                0.16352,                 1.3366,                 1.0086,                0.96501,               0.007294,               0.007294,               0.007294
                     43,                 1.4071,                 1.0771,                0.98973,                0.38601,                0.29563,                0.28698,                0.16534,                 1.3353,                 1.0065,                0.96287,               0.007228,               0.007228,               0.007228
                     44,                 1.4101,                 1.0763,                0.98878,                0.39339,                 0.3002,                0.28669,                0.16545,                 1.3298,                 1.0033,                 0.9632,               0.007162,               0.007162,               0.007162
                     45,                 1.4029,                 1.0733,                0.98567,                0.40287,                0.29426,                0.29053,                0.16697,                  1.335,                 1.0015,                0.96391,               0.007096,               0.007096,               0.007096
                     46,                 1.4013,                 1.0681,                0.98299,                0.39976,                0.29874,                 0.2933,                0.16892,                 1.3269,                0.99654,                0.96083,                0.00703,                0.00703,                0.00703
                     47,                 1.4023,                 1.0673,                 0.9854,                0.40489,                  0.296,                 0.2907,                0.16682,                 1.3298,                0.99503,                 0.9622,               0.006964,               0.006964,               0.006964
                     48,                 1.3973,                 1.0642,                0.98382,                0.40795,                0.30786,                0.29698,                0.17039,                  1.318,                0.98839,                0.96128,               0.006898,               0.006898,               0.006898
                     49,                 1.4013,                 1.0674,                 0.9817,                0.40142,                0.30176,                0.29591,                0.17098,                 1.3255,                0.98687,                0.96226,               0.006832,               0.006832,               0.006832
                     50,                 1.3957,                 1.0579,                0.98062,                0.40004,                0.30887,                0.29621,                0.17038,                 1.3241,                0.98734,                0.96271,               0.006766,               0.006766,               0.006766
